macd_fast,macd_slow,macd_signal,atr_window,atr_multiplier,objective_value,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,avg_win,avg_loss,profit_factor,total_trades,winning_trades,losing_trades,error
1,8,3,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,6,3,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,8,3,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,7,3,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,7,3,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,7,3,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,6,3,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,6,3,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,6,3,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,5,3,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,5,4,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,6,4,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,6,2,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,7,4,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,8,2,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,8,2,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,6,2,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,7,4,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,7,4,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,4,4,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,4,4,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,4,3,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,4,3,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,7,2,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,7,2,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,4,4,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,6,4,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,4,4,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,4,4,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,4,3,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,8,3,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,8,3,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,6,4,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,6,4,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,4,4,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,6,3,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,6,3,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,4,2,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,4,4,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,7,2,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
4,6,2,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,5,3,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,5,3,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,7,3,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,8,4,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,5,3,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
4,6,2,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
4,6,2,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,4,3,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,5,3,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,4,3,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,5,3,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,7,3,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,7,3,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,5,3,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,5,2,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,5,2,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,8,3,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,6,2,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,7,2,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
3,8,2,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,4,2,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,6,4,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
1,5,4,90,1.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,5,4,90,1.0,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
2,4,2,90,0.5,1.3167569361956615,2.8139283966282975,109254958.64545082,2.237455759357957,48829997.28084088,-0.26252170702692335,416174951.3317236,0.45006839945280436,0.019536343188040955,-0.01569542825068029,1.3167569361956615,2.0,329.0,311.0,
