timestamp,open,high,low,close,volume
2020-10-21 00:00:00,11.138,11.138,10.797,10.797,252716.3
2020-10-22 00:00:00,10.797,12.4,10.712,11.951,250340.7
2020-10-23 00:00:00,11.951,12.269,11.585,12.151,379200.1
2020-10-24 00:00:00,12.151,12.946,11.99,12.69,384759.6
2020-10-25 00:00:00,12.69,12.846,11.905,12.151,397395.4
2020-10-26 00:00:00,12.151,12.432,11.26,11.701,450671.8
2020-10-27 00:00:00,11.701,12.46,11.492,11.924,475449.6
2020-10-28 00:00:00,11.924,12.152,11.153,11.432,582233.2
2020-10-29 00:00:00,11.432,11.79,11.081,11.283,443633.5
2020-10-30 00:00:00,11.283,11.471,10.753,11.085,603483.0
2020-10-31 00:00:00,11.085,11.388,10.92,11.228,391439.3
2020-11-01 00:00:00,11.228,11.588,11.012,11.565,347188.0
2020-11-02 00:00:00,11.565,11.687,10.717,10.78,757250.4
2020-11-03 00:00:00,10.78,10.78,9.952,10.398,718928.6
2020-11-04 00:00:00,10.398,10.665,9.736,10.462,704416.2
2020-11-05 00:00:00,10.462,11.266,10.084,10.971,937091.0
2020-11-06 00:00:00,10.971,12.293,10.889,12.174,1015093.5
2020-11-07 00:00:00,12.174,13.723,11.474,11.764,2166648.8
2020-11-08 00:00:00,11.764,13.096,11.484,12.709,981730.4
2020-11-09 00:00:00,12.709,13.008,12.05,12.506,1049358.1
2020-11-10 00:00:00,12.506,13.297,12.314,13.011,1308700.6
2020-11-11 00:00:00,13.011,13.429,12.749,12.759,962091.5
2020-11-12 00:00:00,12.759,13.096,12.28,12.409,959617.2
2020-11-13 00:00:00,12.409,13.009,12.31,12.876,733596.3
2020-11-14 00:00:00,12.876,12.939,12.332,12.559,424723.1
2020-11-15 00:00:00,12.559,12.663,11.817,12.122,546002.6
2020-11-16 00:00:00,12.122,12.82,12.001,12.63,753609.5
2020-11-17 00:00:00,12.63,13.45,12.55,13.418,1380841.8
2020-11-18 00:00:00,13.418,14.276,12.578,13.56,2122428.4
2020-11-19 00:00:00,13.56,14.013,13.026,13.607,1089296.3
2020-11-20 00:00:00,13.607,14.5,13.473,14.094,1017095.4
2020-11-21 00:00:00,14.094,15.55,13.7,15.484,1554136.0
2020-11-22 00:00:00,15.484,15.75,13.85,14.527,1443650.0
2020-11-23 00:00:00,14.527,15.43,14.293,15.287,968158.0
2020-11-24 00:00:00,15.287,16.393,14.962,15.695,1982143.5
2020-11-25 00:00:00,15.695,15.743,13.782,14.199,1702641.5
2020-11-26 00:00:00,14.199,14.462,11.291,12.586,3396693.4
2020-11-27 00:00:00,12.586,12.94,11.959,12.5,922970.6
2020-11-28 00:00:00,12.5,13.424,12.364,13.094,846251.6
2020-11-29 00:00:00,13.094,13.483,12.854,13.386,725989.1
2020-11-30 00:00:00,13.386,14.461,13.385,14.28,1497578.2
2020-12-01 00:00:00,14.28,14.874,13.073,13.345,1756097.1
2020-12-02 00:00:00,13.345,14.162,13.064,13.999,637468.0
